geo_code,geo_name,lad11cd,lad_name,all,bicycle,foot,car_driver,car_passenger,motorbike,train_tube,bus,taxi_other,govtarget_slc,govtarget_sic,govtarget_slw,govtarget_siw,govtarget_sld,govtarget_sid,govtarget_slp,govtarget_sip,govtarget_slm,govtarget_sim,govtarget_slpt,govtarget_sipt,govnearmkt_slc,govnearmkt_sic,govnearmkt_slw,govnearmkt_siw,govnearmkt_sld,govnearmkt_sid,govnearmkt_slp,govnearmkt_sip,govnearmkt_slm,govnearmkt_sim,govnearmkt_slpt,govnearmkt_sipt,gendereq_slc,gendereq_sic,gendereq_slw,gendereq_siw,gendereq_sld,gendereq_sid,gendereq_slp,gendereq_sip,gendereq_slm,gendereq_sim,gendereq_slpt,gendereq_sipt,dutch_slc,dutch_sic,dutch_slw,dutch_siw,dutch_sld,dutch_sid,dutch_slp,dutch_sip,dutch_slm,dutch_sim,dutch_slpt,dutch_sipt,ebike_slc,ebike_sic,ebike_slw,ebike_siw,ebike_sld,ebike_sid,ebike_slp,ebike_sip,ebike_slm,ebike_sim,ebike_slpt,ebike_sipt,base_slcyclehours,govtarget_sicyclehours,govnearmkt_sicyclehours,gendereq_sicyclehours,dutch_sicyclehours,ebike_sicyclehours,base_sldeath,base_slyll,base_slvalueyll,base_slsickdays,base_slvaluesick,base_slvaluecomb,govtarget_sideath,govtarget_siyll,govtarget_sivalueyll,govtarget_sisickdays,govtarget_sivaluesick,govtarget_sivaluecomb,govnearmkt_sideath,govnearmkt_siyll,govnearmkt_sivalueyll,govnearmkt_sisickdays,govnearmkt_sivaluesick,govnearmkt_sivaluecomb,gendereq_sideath,gendereq_siyll,gendereq_sivalueyll,gendereq_sisickdays,gendereq_sivaluesick,gendereq_sivaluecomb,dutch_sideath,dutch_siyll,dutch_sivalueyll,dutch_sisickdays,dutch_sivaluesick,dutch_sivaluecomb,ebike_sideath,ebike_siyll,ebike_sivalueyll,ebike_sisickdays,ebike_sivaluesick,ebike_sivaluecomb,base_slcarkm,base_slco2,govtarget_sicarkm,govtarget_sico2,govnearmkt_sicarkm,govnearmkt_sico2,gendereq_sicarkm,gendereq_sico2,dutch_sicarkm,dutch_sico2,ebike_sicarkm,ebike_sico2,perc_rf_dist_u10km,avslope_perc_u10km
E01011166,Kirklees 011F,E08000034,Kirklees,645,5,81,431,43,12,10,51,12,15.19,10.19,79.17,-1.83,424.75,-6.25,42.26,-0.74,11.74,-0.263,60.07,-0.93,12.09,7.09,79.59,-1.41,426.85,-4.15,42.47,-0.53,11.69,-0.308,60.4,-0.6,6.1,1.1,80.67,-0.33,430.63,-0.37,42.8,-0.2,12,0,60.8,-0.2,76.24,71.24,66.61,-14.39,388.73,-42.27,37.44,-5.56,10.11,-1.89,55.03,-5.97,137.49,132.49,57.32,-23.68,349.42,-81.58,32.97,-10.03,8.9,-3.1,49.07,-11.93,430.1,1063.63,814.04,43.84,6037.16,10941.31,-0.00187,-0.0467,2709.06,-2.96,391.31,3100.37,-0.0029,-0.0857,4969.42,-13.18,1743.17,6712.59,-0.00214,-0.0635,3679.27,-7.47,988.79,4668.05,-1.68e-4,-0.00482,279.18,-0.97,128.31,407.49,-0.0163,-0.48,27825.21,-82.34,10892.16,38717.38,-0.0205,-0.67,38683.99,-128.87,17047.31,55731.29,-2710.72,-493.35,-10005.36,-1820.98,-7564.67,-1376.77,-177.94,-32.38,-55677.07,-10133.23,-122990.81,-22384.33,60.6,3.75
E01011556,Leeds 015A,E08000035,Leeds,756,10,34,519,34,5,15,131,8,25.69,15.69,32.69,-1.31,509.04,-9.96,33.09,-0.91,4.9,-0.0971,142.81,-3.19,20.47,10.47,33.05,-0.95,512.74,-6.26,33.64,-0.36,4.83,-0.175,143.38,-2.62,14.81,4.81,33.75,-0.25,516.15,-2.85,33.28,-0.723,5,0,145.16,-0.84,103.79,93.79,24.4,-9.6,460.5,-58.5,28.7,-5.3,4.4,-0.6,127.42,-18.58,168.32,158.32,21.63,-12.37,417.82,-101.18,25.52,-8.48,3.81,-1.19,112.76,-33.24,1092.8,1797.57,1402.85,569.45,8981.14,15215.6,-0.00238,-0.0735,4257.69,-15.61,2064.83,6322.52,-0.00441,-0.121,7012.39,-26.17,3462.31,10474.7,-0.00313,-0.0966,5598.49,-14.98,1981.55,7580.04,-0.00141,-0.0401,2323.5,-12.46,1648.32,3971.82,-0.0229,-0.61,35494.86,-140.95,18645.21,54140.06,-0.03,-0.82,47452.15,-203.43,26910.46,74362.61,-9526.96,-1733.91,-16696.21,-3038.71,-12249.04,-2229.33,-4587.51,-834.93,-84148.54,-15315.03,-170737.7,-31074.26,66.1,2.66
E01011652,Leeds 024C,E08000035,Leeds,671,20,37,459,31,5,8,103,8,36.59,16.59,35.31,-1.69,447.91,-11.09,30.17,-0.83,4.86,-0.135,108.3,-2.7,29.83,9.83,36.07,-0.93,452.31,-6.69,30.62,-0.38,4.83,-0.175,109.39,-1.61,28.12,8.12,36.95,-0.05,453.65,-5.35,30.48,-0.521,5,0,108.8,-2.2,110.43,90.43,25.59,-11.41,399.05,-59.95,26.82,-4.18,4.32,-0.677,97.65,-13.35,166.31,146.31,24.4,-12.6,359.15,-99.85,23.48,-7.52,3.79,-1.21,87.19,-23.81,2864.06,1841.04,1273.04,911.6,8507.04,14057.55,-0.00643,-0.202,11722.77,-37.66,4982.39,16705.16,-0.00581,-0.155,8960.42,-28.47,3765.56,12725.98,-0.00356,-0.103,5958.02,-14.78,1954.53,7912.55,-0.00172,-0.0499,2891.12,-21.5,2843.6,5734.72,-0.0252,-0.68,39529.28,-138.42,18310.98,57840.25,-0.0335,-0.9,52444.19,-195.01,25796.6,78240.79,-23157.43,-4214.65,-17868.74,-3252.11,-12424.68,-2261.29,-8287.95,-1508.41,-85183.88,-15503.47,-165354.02,-30094.43,70.45,2.33
E01011307,Leeds 103A,E08000035,Leeds,640,7,44,431,51,3,5,98,1,21.7,14.7,42.55,-1.45,422,-9,49.68,-1.32,2.97,-0.0325,100.12,-2.88,22.97,15.97,42.8,-1.2,420.56,-10.44,49.97,-1.03,2.95,-0.0548,99.76,-3.24,10.28,3.28,43.52,-0.48,428.64,-2.36,50.83,-0.167,3,0,102.72,-0.28,85.7,78.7,33.74,-10.26,385.42,-45.58,43.6,-7.4,2.88,-0.117,87.69,-15.31,129.19,122.19,30.82,-13.18,355.77,-75.23,39.98,-11.02,2.7,-0.303,80.63,-22.37,561,1910.49,2289.26,324.51,8412.55,13754.4,-6.73e-4,-0.0269,1559.03,-3.62,479.04,2038.07,-0.00503,-0.137,7941.79,-23.13,3059.97,11001.76,-0.00601,-0.171,9891.02,-22.87,3025.52,12916.54,-9.45e-4,-0.0249,1445.25,-5.02,663.66,2108.91,-0.0217,-0.59,34345.15,-112.99,14946.61,49291.76,-0.0282,-0.77,44530.93,-157.1,20781.72,65312.64,-9263.68,-1685.99,-18666.72,-3397.34,-23314.73,-4243.28,-4105.65,-747.23,-81604.05,-14851.94,-158873.17,-28914.92,41.78,1.9
E01010692,Bradford 001D,E08000032,Bradford,727,5,77,457,20,0,152,13,3,10.31,5.31,75.98,-1.02,453.87,-3.13,19.83,-0.17,0,0,164.02,-0.98,13.29,8.29,76.01,-0.99,452.52,-4.48,19.68,-0.32,0,0,162.52,-2.48,7.23,2.23,77,0,456.42,-0.58,20,0,0,0,163.35,-1.65,36.52,31.52,67.28,-9.72,438.42,-18.58,18.75,-1.25,0,0,163.05,-1.95,76.2,71.2,57.95,-19.05,414.37,-42.63,17.17,-2.83,0,0,158.41,-6.59,2165.6,1105.77,2579.99,820.76,2772.93,7754.11,-0.002,-0.0669,3880.34,-8.43,1114.71,4995.05,-0.00293,-0.0727,4212.48,-7.31,967.06,5179.55,-0.00629,-0.159,9195.97,-12.76,1688.4,10884.37,-0.00143,-0.0413,2392.59,-5.56,735.79,3128.38,-0.00757,-0.19,10949.95,-24.73,3271.1,14221.05,-0.021,-0.52,30204.16,-60.31,7977.89,38182.05,-8206.29,-1493.55,-7705.77,-1402.45,-14963.14,-2723.29,-702.42,-127.84,-25229.43,-4591.76,-78945.53,-14368.09,27.12,4.85
E01011201,Kirklees 030A,E08000034,Kirklees,752,8,116,448,51,3,37,80,9,19.52,11.52,112.82,-3.18,442.17,-5.83,50.27,-0.73,2.94,-0.0601,115.42,-1.58,15.43,7.43,114.15,-1.85,443.86,-4.14,50.76,-0.24,2.93,-0.0693,115.98,-1.02,16.19,8.19,115.69,-0.31,442.87,-5.13,49.46,-1.54,3,0,115.83,-1.17,93.08,85.08,88.31,-27.69,408.09,-39.91,46.01,-4.99,2.56,-0.441,106.12,-10.88,159.14,151.14,77.69,-38.31,369.78,-78.22,40.74,-10.26,2.12,-0.882,95.66,-21.34,1484.56,962.71,769.01,844.29,5129.62,10253.89,-0.00331,-0.111,6434.61,-11.32,1498.06,7932.67,-0.00306,-0.0792,4592.32,-12.52,1656.68,6249,-0.002,-0.0577,3342.2,-7.53,995.75,4337.94,-0.00261,-0.0763,4421.92,-18.12,2397.18,6819.1,-0.0177,-0.45,25971.35,-75.16,9942.23,35913.57,-0.0281,-0.72,42006.08,-128.81,17039.42,59045.5,-13840.19,-2518.91,-8427.72,-1533.85,-7094.45,-1291.19,-7980.22,-1452.4,-43733.29,-7959.46,-108036.34,-19662.61,66.2,3.84
E01011280,Leeds 008D,E08000035,Leeds,879,6,73,588,49,2,118,37,6,21.25,15.25,69.82,-3.18,578.89,-9.11,47.65,-1.35,1.96,-0.0352,153.52,-1.48,16.94,10.94,71.23,-1.77,580.79,-7.21,48.4,-0.6,1.96,-0.0429,153.74,-1.26,9.17,3.17,73,0,587,-1,48.67,-0.333,2,0,153.17,-1.83,100.38,94.38,49.6,-23.4,533.15,-54.85,40,-9,1.8,-0.196,148.64,-6.36,156.9,150.9,45.8,-27.2,493.35,-94.65,36.13,-12.87,1.59,-0.405,140.12,-14.88,1677.61,1769.27,1592.51,640.95,7947.85,15318.96,-0.0106,-0.22,12727.98,-9.93,1313.91,14041.89,-0.00475,-0.127,7383.86,-18.55,2453.75,9837.6,-0.0038,-0.111,6453.48,-12.4,1639.78,8093.26,-0.00187,-0.0551,3194.75,-9.01,1191.33,4386.08,-0.0213,-0.57,32887.53,-93.67,12390.73,45278.26,-0.0343,-0.92,53487.01,-169.22,22385.3,75872.31,-7169.78,-1304.9,-16710.66,-3041.34,-15300.97,-2784.78,-2909.12,-529.46,-79186.98,-14412.03,-179349.25,-32641.56,35.52,2.48
E01011200,Kirklees 032D,E08000034,Kirklees,1241,9,56,976,63,7,37,85,8,28.05,19.05,55.02,-0.98,961.73,-14.27,61.84,-1.16,6.86,-0.136,119.61,-2.39,25.91,16.91,55.21,-0.79,963.45,-12.55,62.16,-0.84,6.75,-0.248,119.62,-2.38,17.02,8.02,55.18,-0.82,970.56,-5.44,62.44,-0.556,7,0,120.86,-1.14,128.76,119.76,48.29,-7.71,887.64,-88.36,55.36,-7.64,6.23,-0.772,107.47,-14.53,231.36,222.36,41.9,-14.1,809.57,-166.43,49.11,-13.89,5.51,-1.49,97.09,-24.91,893.01,2282.65,2380.95,684.94,11886.1,21352.51,-0.00288,-0.0897,5199.48,-10.72,1417.63,6617.1,-0.00713,-0.202,11731.71,-33.24,4397.44,16129.15,-0.00623,-0.186,10809.9,-24.94,3299.33,14109.22,-0.00285,-0.0785,4550.27,-14.19,1876.56,6426.83,-0.0386,-1.09,63240.85,-194.64,25747.13,88987.98,-0.0551,-1.57,91088.16,-290.17,38384.06,129472.21,-10659.6,-1940.05,-23752.23,-4322.91,-24522.25,-4463.05,-7109.71,-1293.97,-125896.34,-22913.13,-272076.09,-49517.85,54.87,3.39
E01011281,Leeds 059A,E08000035,Leeds,868,26,72,494,69,4,21,162,20,46.1,20.1,70.13,-1.87,483.87,-10.13,66.96,-2.04,3.88,-0.122,177.63,-5.37,40.93,14.93,69.92,-2.08,486.88,-7.12,67.81,-1.19,3.88,-0.122,179.16,-3.84,36.39,10.39,72,0,487.8,-6.2,67.87,-1.13,4,0,180.27,-2.73,139.32,113.32,60.23,-11.77,436.99,-57.01,57.23,-11.77,3.29,-0.715,154.53,-28.47,222.56,196.56,51.04,-20.96,391.53,-102.47,49.55,-19.45,2.88,-1.12,136.38,-46.62,3104.19,2164.31,1783.39,798.77,10717.31,16894.33,-0.00357,-0.128,7406.83,-27.18,3594.78,11001.61,-0.00426,-0.123,7155.42,-31.2,4127.15,11282.57,-0.00309,-0.0995,5768.42,-17.78,2351.64,8120.06,-7.92e-4,-0.0224,1295.75,-19.89,2631.32,3927.06,-0.0219,-0.63,36233.04,-164.91,21814.26,58047.29,-0.0262,-0.75,43285.75,-209.97,27775.43,71061.17,-19982.15,-3636.75,-16206.03,-2949.5,-12477.71,-2270.94,-6375.59,-1160.36,-80834.52,-14711.88,-157660.73,-28694.25,73.68,2.95
E01011203,Kirklees 030B,E08000034,Kirklees,806,5,68,593,60,4,17,55,4,14.27,9.27,66.53,-1.47,586.95,-6.05,59.18,-0.82,3.94,-0.0605,71.17,-0.83,11.02,6.02,67.28,-0.72,588.89,-4.11,59.63,-0.37,3.91,-0.0857,71.31,-0.69,7.97,2.97,67.94,-0.06,591.07,-1.93,59.73,-0.272,4,0,71.28,-0.72,71.12,66.12,55.33,-12.67,551.94,-41.06,53.84,-6.16,3.59,-0.414,66.48,-5.52,142.21,137.21,46.82,-21.18,503.16,-89.84,47.41,-12.59,3.12,-0.877,59.8,-12.2,633.86,1020.05,838.66,322.83,5432.67,11560.32,-0.00285,-0.0873,5059.84,-8.04,1063.47,6123.32,-0.00355,-0.0984,5705.28,-13.94,1844.01,7549.29,-0.00257,-0.0738,4276.43,-8.39,1110.22,5386.65,-0.00123,-0.0348,2018.64,-7.51,992.99,3011.64,-0.0196,-0.54,31494.77,-86.17,11398.86,42893.63,-0.0344,-0.96,55360.48,-158.72,20995.65,76356.13,-5532.98,-1007,-9939.63,-1809.01,-8325.9,-1515.31,-2579.62,-469.49,-51688.4,-9407.29,-136328.3,-24811.75,61.35,4.37
