Code,Name,Mid-2018 population,Area Sq Km
E01011698,Leeds 001A,1464,0.33
E01011699,Leeds 001B,1288,0.33
E01011701,Leeds 001C,1203,0.40
E01011702,Leeds 001D,1290,1.90
E01011703,Leeds 001E,1184,0.42
E01011697,Leeds 002A,2280,13.61
E01011700,Leeds 002B,1374,0.97
E01011704,Leeds 002C,1916,6.59
E01011705,Leeds 002D,1339,0.38
E01011581,Leeds 003A,1441,0.63
E01011582,Leeds 003B,1665,1.27
E01011583,Leeds 003C,1470,0.33
E01011584,Leeds 003D,1477,0.69
E01011569,Leeds 004A,1711,5.09
E01011571,Leeds 004B,1530,1.41
E01011572,Leeds 004C,1715,0.52
E01011573,Leeds 004D,1349,1.67
E01011574,Leeds 004E,1372,0.30
E01011707,Leeds 005A,1285,2.40
E01011709,Leeds 005B,1661,1.13
E01011710,Leeds 005C,1387,1.46
E01011711,Leeds 005D,1375,0.89
E01011712,Leeds 005E,1328,19.53
E01011561,Leeds 006A,1151,25.51
E01011696,Leeds 006B,1518,7.00
E01011706,Leeds 006C,1483,4.04
E01011708,Leeds 006D,1495,5.62
E01011713,Leeds 006E,1916,9.89
E01011570,Leeds 007A,2171,3.88
E01011576,Leeds 007C,1405,9.09
E01032503,Leeds 007E,1441,12.85
E01032504,Leeds 007F,1573,2.97
E01011266,Leeds 008A,2454,2.53
E01011270,Leeds 008B,1605,7.93
E01011279,Leeds 008C,1299,3.48
E01011280,Leeds 008D,2078,0.95
E01011265,Leeds 009A,1775,0.53
E01011267,Leeds 009B,1571,0.45
E01011271,Leeds 009C,2149,0.59
E01011272,Leeds 009D,1440,0.56
E01011268,Leeds 010A,1350,0.40
E01011273,Leeds 010B,1438,0.42
E01011274,Leeds 010C,1329,0.30
E01011275,Leeds 010D,1296,0.29
E01011264,Leeds 011A,1236,0.64
E01011269,Leeds 011B,1615,0.63
E01011276,Leeds 011C,1517,0.35
E01011578,Leeds 011D,1222,0.56
E01011554,Leeds 012A,1445,9.61
E01011562,Leeds 012B,1510,1.47
E01011563,Leeds 012C,1344,1.49
E01011564,Leeds 012D,1461,0.44
E01011567,Leeds 012E,1407,0.40
E01011376,Leeds 013A,1431,1.83
E01011377,Leeds 013B,1324,0.48
E01011378,Leeds 013C,1383,0.41
E01011382,Leeds 013D,1416,0.30
E01011277,Leeds 014A,1469,0.39
E01011278,Leeds 014B,1625,0.59
E01011579,Leeds 014C,1206,0.21
E01011580,Leeds 014D,1326,1.67
E01011556,Leeds 015A,1641,0.37
E01011557,Leeds 015B,1433,0.34
E01011565,Leeds 015C,1457,0.46
E01011566,Leeds 015D,1233,0.24
E01011568,Leeds 015E,1828,0.46
E01011380,Leeds 016A,1465,0.81
E01011381,Leeds 016B,1356,2.64
E01011385,Leeds 016C,1263,1.18
E01011386,Leeds 016D,1504,0.67
E01011379,Leeds 017A,1476,0.45
E01011384,Leeds 017B,1432,0.33
E01032501,Leeds 017E,1111,0.25
E01032502,Leeds 017F,1838,0.45
E01011555,Leeds 018A,1293,0.47
E01011558,Leeds 018B,1689,0.42
E01011559,Leeds 018C,1350,0.50
E01011560,Leeds 018D,1863,0.49
E01011383,Leeds 019A,1603,0.74
E01011388,Leeds 019B,1456,0.59
E01011684,Leeds 019C,1540,0.67
E01011695,Leeds 019D,1642,0.38
E01011650,Leeds 020A,1424,3.25
E01011651,Leeds 020B,1523,0.41
E01011653,Leeds 020C,1395,0.24
E01011655,Leeds 020D,1393,0.72
E01011455,Leeds 021A,1283,1.55
E01011456,Leeds 021B,1673,1.01
E01011459,Leeds 021C,1581,0.65
E01011461,Leeds 021D,1514,0.73
E01011311,Leeds 022A,1210,6.78
E01011649,Leeds 022B,1467,2.51
E01011715,Leeds 022C,1268,5.43
E01011719,Leeds 022D,1371,2.25
E01011509,Leeds 023A,1320,0.34
E01011511,Leeds 023B,1390,0.33
E01011512,Leeds 023C,1735,0.37
E01011515,Leeds 023D,1439,0.29
E01011516,Leeds 023E,1608,0.28
E01011508,Leeds 024A,1376,0.29
E01011517,Leeds 024B,1717,0.37
E01011652,Leeds 024C,1443,0.25
E01011654,Leeds 024D,1401,0.33
E01011505,Leeds 025A,1569,0.78
E01011506,Leeds 025B,1405,0.21
E01011507,Leeds 025C,1553,0.31
E01011510,Leeds 025D,1582,0.38
E01011514,Leeds 025E,1626,0.32
E01011452,Leeds 027A,1645,1.02
E01011454,Leeds 027B,1559,0.25
E01011457,Leeds 027C,1469,2.56
E01011458,Leeds 027D,1769,1.65
E01011465,Leeds 027E,1605,0.39
E01011453,Leeds 028A,1445,0.45
E01011460,Leeds 028B,1521,0.30
E01011462,Leeds 028C,1671,0.37
E01011463,Leeds 028D,1615,0.27
E01011464,Leeds 028E,1657,0.37
E01011714,Leeds 029A,1659,1.30
E01011716,Leeds 029B,1521,0.40
E01011717,Leeds 029C,1331,0.49
E01011718,Leeds 029D,1851,0.28
E01011720,Leeds 029E,1468,0.49
E01011296,Leeds 030A,1608,3.85
E01011297,Leeds 030B,1661,19.97
E01011309,Leeds 030C,1465,13.60
E01011310,Leeds 030D,1778,7.50
E01011513,Leeds 031A,2152,0.80
E01011688,Leeds 031B,1558,0.23
E01011689,Leeds 031C,1431,0.34
E01011691,Leeds 031D,1549,0.26
E01011504,Leeds 032A,1458,0.34
E01011641,Leeds 032B,1516,0.85
E01011642,Leeds 032C,1347,0.35
E01011645,Leeds 032D,1494,0.38
E01011484,Leeds 033A,1542,0.42
E01011485,Leeds 033B,1594,0.49
E01011686,Leeds 033E,1500,0.77
E01032493,Leeds 033F,1295,0.21
E01032494,Leeds 033G,1797,0.66
E01011350,Leeds 034A,1488,0.37
E01011351,Leeds 034B,1682,0.37
E01011352,Leeds 034C,1835,0.30
E01011353,Leeds 034D,1730,0.38
E01011656,Leeds 035A,1451,0.25
E01011657,Leeds 035B,1318,0.63
E01011659,Leeds 035C,1388,0.29
E01011661,Leeds 035D,1570,0.42
E01011643,Leeds 037A,1412,0.41
E01011644,Leeds 037B,1302,1.04
E01011646,Leeds 037C,1734,0.33
E01011647,Leeds 037D,1793,0.27
E01011648,Leeds 037E,1772,0.26
E01011354,Leeds 038A,1340,0.25
E01011355,Leeds 038B,1404,0.58
E01011357,Leeds 038C,2027,0.55
E01011450,Leeds 038D,1327,0.40
E01011588,Leeds 039A,1728,1.17
E01011589,Leeds 039B,1546,2.44
E01011590,Leeds 039C,1577,3.16
E01011592,Leeds 039D,1485,0.38
E01011593,Leeds 039E,1955,0.71
E01011421,Leeds 040A,1556,0.26
E01011425,Leeds 040B,1514,0.27
E01011658,Leeds 040C,1478,0.34
E01011660,Leeds 040D,1433,0.45
E01011662,Leeds 040E,1209,0.39
E01011721,Leeds 041A,1458,0.55
E01011722,Leeds 041B,2092,0.82
E01011723,Leeds 041C,1535,0.25
E01011724,Leeds 041D,1941,0.36
E01011356,Leeds 042A,1947,0.43
E01011358,Leeds 042B,1556,0.30
E01011359,Leeds 042C,1870,0.40
E01011360,Leeds 042D,2140,0.23
E01011361,Leeds 042E,2590,0.40
E01011435,Leeds 044A,2027,0.15
E01011440,Leeds 044D,1926,0.20
E01011441,Leeds 044E,2257,0.21
E01032945,Leeds 044F,3408,0.31
E01011477,Leeds 045A,2000,0.53
E01011480,Leeds 045B,1706,0.27
E01011488,Leeds 045C,1390,0.47
E01011489,Leeds 045D,1749,0.40
E01011324,Leeds 046A,2038,0.59
E01011325,Leeds 046B,1498,1.38
E01011326,Leeds 046C,1372,0.23
E01011332,Leeds 046D,1439,0.24
E01011423,Leeds 047A,1642,0.37
E01011424,Leeds 047B,1951,0.20
E01011427,Leeds 047C,1911,0.23
E01011431,Leeds 047D,2312,0.30
E01011422,Leeds 048A,1705,0.12
E01011426,Leeds 048B,1629,0.08
E01011428,Leeds 048C,2221,0.12
E01011429,Leeds 048D,2241,0.18
E01011663,Leeds 050A,1619,0.39
E01011664,Leeds 050B,1044,0.29
E01011665,Leeds 050C,1291,0.32
E01011667,Leeds 050D,1496,0.25
E01011323,Leeds 051A,1201,0.19
E01011329,Leeds 051B,1459,0.34
E01011330,Leeds 051C,1249,0.57
E01011333,Leeds 051D,1286,0.25
E01011327,Leeds 052A,1332,0.72
E01011328,Leeds 052B,1504,0.44
E01011335,Leeds 052C,1707,0.39
E01011591,Leeds 052D,1585,0.61
E01011430,Leeds 053A,2010,0.12
E01011432,Leeds 053B,2021,0.09
E01011433,Leeds 053C,2245,0.14
E01011434,Leeds 053D,1889,0.11
E01011445,Leeds 054A,1940,0.07
E01011446,Leeds 054B,1846,0.08
E01011447,Leeds 054C,1560,0.09
E01011448,Leeds 054D,1752,0.08
E01011449,Leeds 054E,1603,0.09
E01011670,Leeds 055A,3408,0.30
E01011671,Leeds 055B,1646,0.51
E01033002,Leeds 055F,2197,0.28
E01033003,Leeds 055G,2015,0.22
E01033005,Leeds 055H,4030,0.64
E01011478,Leeds 056A,1804,0.17
E01011479,Leeds 056B,1611,0.11
