LSOA11CD,LSOA11NM,MSOA11CD,MSOA11NM
E01011314,Leeds 091B,E02002420,Leeds 091
E01011320,Leeds 091D,E02002420,Leeds 091
E01011320,Leeds 091D,E02002420,Leeds 091
E01011320,Leeds 091D,E02002420,Leeds 091
E01011339,Leeds 060A,E02002389,Leeds 060
E01011350,Leeds 034A,E02002363,Leeds 034
E01011350,Leeds 034A,E02002363,Leeds 034
E01011353,Leeds 034D,E02002363,Leeds 034
E01011358,Leeds 042B,E02002371,Leeds 042
E01011383,Leeds 019A,E02002348,Leeds 019
E01011425,Leeds 040B,E02002369,Leeds 040
E01011648,Leeds 037E,E02002366,Leeds 037
E01011646,Leeds 037C,E02002366,Leeds 037
E01011648,Leeds 037E,E02002366,Leeds 037
E01011647,Leeds 037D,E02002366,Leeds 037
E01011424,Leeds 047B,E02002376,Leeds 047
E01011688,Leeds 031B,E02002360,Leeds 031
E01011688,Leeds 031B,E02002360,Leeds 031
E01011684,Leeds 019C,E02002348,Leeds 019
E01011734,Leeds 083A,E02002412,Leeds 083
E01011304,Leeds 089C,E02002418,Leeds 089
E01011396,Leeds 074A,E02002403,Leeds 074
E01011408,Leeds 057C,E02002386,Leeds 057
E01011465,Leeds 027E,E02002356,Leeds 027
E01011509,Leeds 023A,E02002352,Leeds 023
E01011533,Leeds 104A,E02002433,Leeds 104
E01011537,Leeds 107A,E02002436,Leeds 107
E01011541,Leeds 104B,E02002433,Leeds 104
E01011574,Leeds 004E,E02002333,Leeds 004
E01011582,Leeds 003B,E02002332,Leeds 003
E01011602,Leeds 076A,E02002405,Leeds 076
E01011612,Leeds 079E,E02002408,Leeds 079
E01011705,Leeds 002D,E02002331,Leeds 002
E01011704,Leeds 002C,E02002331,Leeds 002
E01011266,Leeds 008A,E02002337,Leeds 008
E01011270,Leeds 008B,E02002337,Leeds 008
E01011310,Leeds 030D,E02002359,Leeds 030
E01011376,Leeds 013A,E02002342,Leeds 013
E01011376,Leeds 013A,E02002342,Leeds 013
E01011377,Leeds 013B,E02002342,Leeds 013
E01011380,Leeds 016A,E02002345,Leeds 016
E01011388,Leeds 019B,E02002348,Leeds 019
E01011405,Leeds 077E,E02002406,Leeds 077
E01011403,Leeds 074D,E02002403,Leeds 074
E01011419,Leeds 073D,E02002402,Leeds 073
E01011455,Leeds 021A,E02002350,Leeds 021
E01011461,Leeds 021D,E02002350,Leeds 021
E01011518,Leeds 093A,E02002422,Leeds 093
E01011567,Leeds 012E,E02002341,Leeds 012
E01011580,Leeds 014D,E02002343,Leeds 014
E01032503,Leeds 007E,E02002336,Leeds 007
E01032504,Leeds 007F,E02002336,Leeds 007
E01032504,Leeds 007F,E02002336,Leeds 007
E01011574,Leeds 004E,E02002333,Leeds 004
E01011570,Leeds 007A,E02002336,Leeds 007
E01011633,Leeds 098E,E02002427,Leeds 098
E01032488,Leeds 097G,E02002426,Leeds 097
E01011641,Leeds 032B,E02002361,Leeds 032
E01011654,Leeds 024D,E02002353,Leeds 024
E01011655,Leeds 020D,E02002349,Leeds 020
E01011713,Leeds 006E,E02002335,Leeds 006
E01011713,Leeds 006E,E02002335,Leeds 006
E01011457,Leeds 027C,E02002356,Leeds 027
E01011627,Leeds 098A,E02002427,Leeds 098
E01011623,Leeds 075B,E02002404,Leeds 075
E01011713,Leeds 006E,E02002335,Leeds 006
E01011424,Leeds 047B,E02002376,Leeds 047
E01011720,Leeds 029E,E02002358,Leeds 029
E01011457,Leeds 027C,E02002356,Leeds 027
E01011425,Leeds 040B,E02002369,Leeds 040
E01011623,Leeds 075B,E02002404,Leeds 075
E01011733,Leeds 081D,E02002410,Leeds 081
E01011455,Leeds 021A,E02002350,Leeds 021
E01011450,Leeds 038D,E02002367,Leeds 038
E01011671,Leeds 055B,E02002384,Leeds 055
E01011433,Leeds 053C,E02002382,Leeds 053
E01011737,Leeds 083C,E02002412,Leeds 083
E01011275,Leeds 010D,E02002339,Leeds 010
E01011299,Leeds 088B,E02002417,Leeds 088
E01011270,Leeds 008B,E02002337,Leeds 008
E01011270,Leeds 008B,E02002337,Leeds 008
E01011272,Leeds 009D,E02002338,Leeds 009
E01011270,Leeds 008B,E02002337,Leeds 008
E01011297,Leeds 030B,E02002359,Leeds 030
E01011419,Leeds 073D,E02002402,Leeds 073
E01011419,Leeds 073D,E02002402,Leeds 073
E01011527,Leeds 096D,E02002425,Leeds 096
E01011528,Leeds 095D,E02002424,Leeds 095
E01011526,Leeds 093C,E02002422,Leeds 093
E01011528,Leeds 095D,E02002424,Leeds 095
E01011549,Leeds 108C,E02002437,Leeds 108
E01011549,Leeds 108C,E02002437,Leeds 108
E01011553,Leeds 108D,E02002437,Leeds 108
E01011549,Leeds 108C,E02002437,Leeds 108
E01011633,Leeds 098E,E02002427,Leeds 098
E01011702,Leeds 001D,E02002330,Leeds 001
E01011576,Leeds 007C,E02002336,Leeds 007
E01011637,Leeds 097C,E02002426,Leeds 097
E01032488,Leeds 097G,E02002426,Leeds 097
E01011635,Leeds 097B,E02002426,Leeds 097
E01011649,Leeds 022B,E02002351,Leeds 022
E01011696,Leeds 006B,E02002335,Leeds 006
E01011709,Leeds 005B,E02002334,Leeds 005
E01011706,Leeds 006C,E02002335,Leeds 006
E01011696,Leeds 006B,E02002335,Leeds 006
E01011702,Leeds 001D,E02002330,Leeds 001
E01011706,Leeds 006C,E02002335,Leeds 006
E01011696,Leeds 006B,E02002335,Leeds 006
E01011701,Leeds 001C,E02002330,Leeds 001
E01011700,Leeds 002B,E02002331,Leeds 002
E01011699,Leeds 001B,E02002330,Leeds 001
E01011702,Leeds 001D,E02002330,Leeds 001
E01011703,Leeds 001E,E02002330,Leeds 001
E01011703,Leeds 001E,E02002330,Leeds 001
E01011738,Leeds 083D,E02002412,Leeds 083
E01011731,Leeds 081B,E02002410,Leeds 081
E01011738,Leeds 083D,E02002412,Leeds 083
E01011279,Leeds 008C,E02002337,Leeds 008
E01011265,Leeds 009A,E02002338,Leeds 009
E01011269,Leeds 011B,E02002340,Leeds 011
E01032499,Leeds 067G,E02002396,Leeds 067
E01011281,Leeds 059A,E02002388,Leeds 059
E01011351,Leeds 034B,E02002363,Leeds 034
E01011403,Leeds 074D,E02002403,Leeds 074
E01011402,Leeds 087D,E02002416,Leeds 087
E01011671,Leeds 055B,E02002384,Leeds 055
E01011460,Leeds 028B,E02002357,Leeds 028
E01011422,Leeds 048A,E02002377,Leeds 048
E01011677,Leeds 064D,E02002393,Leeds 064
E01011441,Leeds 044E,E02002373,Leeds 044
E01011459,Leeds 021C,E02002350,Leeds 021
E01011689,Leeds 031C,E02002360,Leeds 031
E01011426,Leeds 048B,E02002377,Leeds 048
E01011638,Leeds 097D,E02002426,Leeds 097
E01011703,Leeds 001E,E02002330,Leeds 001
E01011629,Leeds 098C,E02002427,Leeds 098
E01011465,Leeds 027E,E02002356,Leeds 027
E01011292,Leeds 071B,E02002400,Leeds 071
E01011703,Leeds 001E,E02002330,Leeds 001
E01011639,Leeds 100E,E02002429,Leeds 100
E01011480,Leeds 045B,E02002374,Leeds 045
E01011426,Leeds 048B,E02002377,Leeds 048
E01011513,Leeds 031A,E02002360,Leeds 031
E01011424,Leeds 047B,E02002376,Leeds 047
E01011318,Leeds 090C,E02002419,Leeds 090
E01011685,Leeds 109A,E02006852,Leeds 109
E01011480,Leeds 045B,E02002374,Leeds 045
E01011708,Leeds 006D,E02002335,Leeds 006
E01011531,Leeds 093D,E02002422,Leeds 093
E01011429,Leeds 048D,E02002377,Leeds 048
E01011317,Leeds 090B,E02002419,Leeds 090
E01011266,Leeds 008A,E02002337,Leeds 008
E01011485,Leeds 033B,E02002362,Leeds 033
E01011707,Leeds 005A,E02002334,Leeds 005
E01011576,Leeds 007C,E02002336,Leeds 007
